chorus_path,title,artist,rank,year,popularity,file_path,chroma_mean_1,chroma_mean_2,chroma_mean_3,tempo,spectral_centroid,spectral_bandwidth,spectral_rolloff,tonal_centroid_1,tonal_centroid_2,tonal_centroid_3,tonal_centroid_4,tonal_centroid_5,tonal_centroid_6,zero_crossing_rate,tuning
choruss\Ric Flair Drip_chorus.wav,Ric Flair Drip,Offset & Metro Boomin,38,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Ric Flair Drip.mp3,0.5150368213653564,0.4437718391418457,0.43393632769584656,99.38401442307692,1610.3538665016154,2332.4571312078306,3797.843701625387,-0.05281127662875233,-0.05080375827945819,-0.009683491035737318,0.08143952749914583,-0.08200849822757451,0.01975008555894836,0.04284327834752322,0.20999999999999996
choruss\I Fall Apart_chorus.wav,I Fall Apart,Post Malone,39,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\I Fall Apart.mp3,0.39254310727119446,0.5098991394042969,0.41808176040649414,143.5546875,2384.2067378997613,2692.1374839183013,5495.033438951238,-0.09491664439196697,-0.15425627649179782,-0.08060033458945398,0.106694401270672,0.015702702910754283,-0.019832395386936912,0.058393448868034055,-0.010000000000000009
choruss\Pray For Me_chorus.wav,Pray For Me,The Weeknd & Kendrick Lamar,40,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Pray For Me.mp3,0.258016973733902,0.2678128778934479,0.39124664664268494,99.38401442307692,2118.430454118691,2364.8550089596156,4518.4726774138935,0.2155427621243051,0.04372749220426241,-0.05629417063501189,0.039550927866987794,0.0002645376939800052,0.028384095000538546,0.0894575089493034,0.020000000000000018
choruss\Back To You_chorus.wav,Back To You,Selena Gomez,41,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Back To You.mp3,0.2872139811515808,0.34931913018226624,0.2963774502277374,135.99917763157896,2499.5484889498825,2836.0357117540357,5712.69878942531,-0.10392055916392563,-0.16556980711970928,0.0667516925896948,-0.1059401238671631,-0.010177148560032651,0.04164533684355995,0.09452021454140867,0.020000000000000018
choruss\Sicko Mode_chorus.wav,Sicko Mode,Travis Scott,42,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Sicko Mode.mp3,0.3880094885826111,0.3149057924747467,0.34140744805336,151.99908088235293,3021.6275545306667,2945.2518687175225,6616.243325815112,0.04807911279871181,0.0399888905509903,0.012726910223451588,-0.11024816170473252,-0.044512441321239625,-0.014166467100448157,0.1160915126741486,-0.020000000000000018
choruss\Walk It Talk It_chorus.wav,Walk It Talk It,Migos Featuring Drake,43,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Walk It Talk It.mp3,0.3847321569919586,0.41919681429862976,0.4425666332244873,143.5546875,2208.847085565047,2448.0386040531193,4685.171669407895,0.11735835671989008,0.027771661827767424,-0.14007530039487792,-0.028050853896760028,-0.008119258271245135,0.022351105040048894,0.07931395728521672,0.030000000000000027
choruss\Gucci Gang_chorus.wav,Gucci Gang,Lil Pump,44,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Gucci Gang.mp3,0.234636589884758,0.24735228717327118,0.2745516300201416,123.046875,2291.883269086795,2536.708758139044,5161.818787187984,0.14219563713994435,-0.004689160926228159,-0.1265389931261339,0.11412651304605316,0.03426555580650261,-0.0022422600733605696,0.08424741195820433,-0.02999999999999997
choruss\Him & I_chorus.wav,Him & I,G-Eazy & Halsey,45,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Him & I.mp3,0.3883037567138672,0.3175555169582367,0.42197567224502563,89.10290948275862,2156.8718137499104,2839.651522135276,5176.268699811339,0.13719789668566598,0.042925613175059336,-0.02691705240478827,-0.04413561400850779,-0.0026039862330349507,0.006436332658757954,0.05465424245356037,-0.03999999999999998
choruss\In My Blood_chorus.wav,In My Blood,Shawn Mendes,46,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\In My Blood.mp3,0.4129275977611542,0.2936752140522003,0.35602790117263794,143.5546875,2345.5376678300054,2615.834684015159,5204.385196461397,-0.01723193386905547,0.15234506758950517,-0.13254246929654712,-0.06763249763573131,-0.008881559335271131,-0.021150013266474314,0.08734716645704334,0.06000000000000005
choruss\All The Stars_chorus.wav,All The Stars,Kendrick Lamar & SZA,47,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\All The Stars.mp3,0.6050113439559937,0.447031170129776,0.4811444878578186,95.703125,1077.1283917116339,1583.1068199509446,2067.637497278928,-0.07701086708798556,0.09256957473525926,-0.040930259220256546,0.0767323910071287,-0.01918313398302499,-0.008490484333294343,0.0318206692627709,0.030000000000000027
choruss\Stir Fry_chorus.wav,Stir Fry,Migos,48,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Stir Fry.mp3,0.4932746887207031,0.4301137626171112,0.42362990975379944,92.28515625,2451.4180217601524,2888.791795815913,5838.798026920472,0.02438247560971458,-0.02769431875223375,0.03285286157037254,-0.029141954042525443,0.00908032486284249,0.018820398844686358,0.06219992622871517,0.040000000000000036
choruss\Too Good At Goodbyes_chorus.wav,Too Good At Goodbyes,Sam Smith,49,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Too Good At Goodbyes.mp3,0.23562704026699066,0.15293161571025848,0.1840420961380005,161.4990234375,2197.260752789986,2352.224129340965,4524.239309210527,0.03092849927866906,0.26082026756606674,-0.15355703023250825,0.003842652112896212,-0.04248679164484745,-0.022367837017073317,0.08724134699109908,-0.07
choruss\Love._chorus.wav,Love.,Kendrick Lamar Featuring Zacari,50,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Love..mp3,0.3695111572742462,0.3228757083415985,0.3649415671825409,75.99954044117646,1673.141638358718,2122.245238727629,3606.2448601973683,0.09997412958255314,0.05847141445119044,0.07621797449863693,-0.07228960462877618,-0.026279342811457555,-0.00615728819409767,0.05318410773026316,0.10999999999999999
